handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
157350-05,Product,sh-96-96-4-157350-05,"<p>The NI <strong>SH96-96-2 (157350-05)</strong> helps you connect the PXIe-4339 PXI Strain/Bridge Input Module or the PXIe-4302 and PXIe-4303 PXI Analog Input Modules to compatible rackmount Terminal Blocks. This cable is available in 1 m, 3 m, and 5 m lengths.</p><p>&nbsp;</p>",87f685_9c4d552aa4114d14a10fef8a6b4f5f2a~mv2.jpg,,157350-05,,959,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
157350-03,Product,sh-96-96-3-157350-03,"<p>The NI <strong>SH96-96-2 (157350-03)</strong> helps you connect the PXIe-4339 PXI Strain/Bridge Input Module or the PXIe-4302 and PXIe-4303 PXI Analog Input Modules to compatible rackmount Terminal Blocks. This cable is available in 1 m, 3 m, and 5 m lengths.</p><p>&nbsp;</p>",87f685_9c4d552aa4114d14a10fef8a6b4f5f2a~mv2.jpg,,157350-03,,741,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
787003-01,Product,sh96f-96m-cal4330-787003-01,"<p>The NI <strong>SH96F-96M-CAL4330 (787003-01)</strong>, Shielded Cable for PXIe-4330, 4331 to CAL-4330, 1M is a high-quality, durable component designed and manufactured by NI and sold and supported by Cyth Systems.</p><p>&nbsp;</p>",e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,787003-01,,665,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
157350-01,Product,sh-96-96-2-157350-01,"<p>The SH96-96-2 (157350-01) helps you connect the PXIe-4339 PXI Strain/Bridge Input Module or the PXIe-4302 and PXIe-4303 PXI Analog Input Modules to compatible rackmount Terminal Blocks. This cable is available in 1 m, 3 m, and 5 m lengths.</p><p>&nbsp;</p>",87f685_9c4d552aa4114d14a10fef8a6b4f5f2a~mv2.jpg,,157350-01,Ships in 3-5 Days,500,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
189588-02,Product,shc68-68-rmio-189588-02,"<p>The NI SHC68M-68F-RMIO Cable (189588-02), sometimes referred to as SHC68-68-RMIO, connects to the terminal block of a multifunction reconfigurable I/O (RIO) device. The SHC68M-68F-RMIO Cable is available in different lengths.</p><p>&nbsp;</p>",87f685_dc6d975c7b0a4fc5818014fdef0a0130~mv2.jpg,,189588-02,Ships in 3-5 Days,325,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #008000;""><strong>In-Stock Ready-to-Ship as of 04-13-2026</strong></p>",,,,,,,,,,,,,,,,,
189588-01,Product,shc68-68-rmio-189588-01,"<p>The NI&nbsp;<strong>SHC68M-68F-RMIO Cable (189588-01)</strong>, sometimes referred to as SHC68-68-RMIO, connects to the terminal block of a multifunction reconfigurable I/O (RIO) device. The SHC68M-68F-RMIO Cable is available in different lengths.</p><p>&nbsp;</p>",87f685_dc6d975c7b0a4fc5818014fdef0a0130~mv2.jpg,,189588-01,Ships in 3-5 Days,262,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #008000;""><strong>In-Stock Ready-to-Ship as of 04-13-2026</strong></p>",,,,,,,,,,,,,,,,,
191667-01,Product,shc68-68-rdio-191667-01,<p>The NI <strong>SHC68-68-RDIO (191667-01)</strong> is designed and shielded specifically for the digital I/O connector on supported Multifunction Reconfigurable I/O Device. This cable features digital I/O lines individually twisted with digital ground for high-signal integrity and noise immunity. You also can use the SHC68-68-RDIO with the NI-9151 CompactRIO Chassis.</p><p>&nbsp;</p>,e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,191667-01,Ships in 3-5 Days,262,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #008000;""><strong>In-Stock Ready-to-Ship as of 04-13-2026</strong></p>",,,,,,,,,,,,,,,,,
785944-10,Product,shm128m-rj45-785944-10,"<p>The NI <strong>SHM128M-RJ45 (785944-10)</strong> helps you connect compatible FieldDAQ devices to network hubs or switches, without the need for a router in the middle.</p><p>&nbsp;</p>",e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,785944-10,,238,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
785946-03,Product,shm128m-shm128m-785946-03,"<p>The NI <strong>SHM128M-SHM128M (785946-03) </strong>helps you connect compatible FieldDAQ devices to network hubs or switches, without the need for a router in the middle.</p><p>&nbsp;</p>",e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,785946-03,,150,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
785946-01,Product,shm128m-shm128m-785946-01,"<p>The <strong>SHM128M-SHM128M (785946-01) </strong>helps you connect compatible FieldDAQ devices to network hubs or switches, without the need for a router in the middle.</p><p>&nbsp;</p>",e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,785946-01,,137,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
